nome;sobrenome;cpf;email;sexo;dt_nascimento;departamento;cargo;acao
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
nome_cliente;sobrenome_cliente;000.000.000-00;email@cliente.com.br;M;01/01/2000;depto_cliente;cargo_cliente;inserir
Jose;Malaquias;148.381.720-22;jose.malaq.2021 @gmail.com;M;01/01/1972;Comercial;Auxiliar de Vendas;inserir
Jose;Malaquias;148.381.720-28;jose.malaq.2021@gmail.com;M;01/01/1972;Comercial;Auxiliar de Vendas;inserir
